Stock quote and option quote for SPX on 4/9/26 09:07:21

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
6776.74, ,-6.07,6774.34, ,6779.50, ,<empty>,<empty>,6783.69,6783.69,6768.56

UNDERLYING EXTRA INFO
Last Size,Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,Beta
0,<empty>,<empty>,<empty>,--,,7002.28,5101.63,0,1

8 APR 26  (-1)  100 (Weeklys)

9 APR 26  (0)  100 (Weeklys)

10 APR 26  (1)  100 (Weeklys)
,,Volume,Open.Int,AS,BS,Last Size,LAST,LX,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Volume,Open.Int,AS,BS,Last Size,LAST,LX,,
,,<empty>,2,10,8,2,484.20,C,640.70,C,644.70,C,10 APR 26,6135,.10,C,.20,C,1,197,396,275,1,.12,C,,
,,<empty>,8,10,8,1,466.46,C,635.70,C,639.70,C,10 APR 26,6140,.10,C,.20,C,22,902,467,354,1,.15,C,,
,,<empty>,0,11,8,0,0, ,630.70,C,634.70,C,10 APR 26,6145,.10,C,.20,C,1,431,442,372,1,.15,C,,
,,<empty>,40,11,9,1,410.40,C,625.70,C,629.70,C,10 APR 26,6150,.10,C,.20,C,58,"4,819",465,389,1,.15,C,,
,,<empty>,0,11,9,0,0, ,620.70,C,624.70,C,10 APR 26,6155,.10,C,.20,C,17,193,399,360,16,.19,C,,
,,30,30,2,9,3,620.45,C,615.50,C,619.30,C,10 APR 26,6160,.10,C,.20,C,42,252,439,624,10,.15,C,,
,,<empty>,0,11,9,0,0, ,610.60,C,614.40,C,10 APR 26,6165,.10,C,.20,C,<empty>,328,433,379,1,.25,C,,
,,<empty>,2,2,9,1,303.61,C,605.60,C,609.30,C,10 APR 26,6170,.15,C,.20,C,22,361,315,26,10,.15,C,,
,,<empty>,26,11,9,1,442.25,C,600.60,C,604.40,C,10 APR 26,6175,.15,C,.20,C,24,"1,534",254,26,15,.20,C,,
,,<empty>,10,2,9,10,426.34,C,595.60,C,599.30,C,10 APR 26,6180,.15,C,.20,C,<empty>,607,149,27,1,.50,C,,
,,<empty>,0,11,9,0,0, ,590.80,C,594.70,C,10 APR 26,6185,.15,C,.20,C,1,163,148,112,1,.17,C,,
,,<empty>,0,11,9,0,0, ,585.80,C,589.70,C,10 APR 26,6190,.15,C,.20,C,3,"3,664",87,156,1,.15,C,,
,,<empty>,2,11,9,1,266.25,C,580.80,C,584.70,C,10 APR 26,6195,.15,C,.20,C,14,608,117,185,2,.20,C,,
,,<empty>,69,11,9,2,583.08,C,575.80,C,579.70,C,10 APR 26,6200,.15,C,.20,C,247,"8,996",83,268,1,.20,C,,
,,<empty>,0,11,9,0,0, ,570.80,C,574.70,C,10 APR 26,6205,.15,C,.25,C,180,421,369,444,8,.20,C,,
,,<empty>,1,9,9,1,245.79,C,565.80,C,569.70,C,10 APR 26,6210,.15,C,.25,C,29,"1,460",358,380,2,.22,C,,
,,<empty>,0,11,9,0,0, ,560.70,C,564.40,C,10 APR 26,6215,.15,C,.25,C,196,570,369,409,8,.21,C,,
,,<empty>,3,2,9,1,305.90,C,555.70,C,559.30,C,10 APR 26,6220,.15,C,.25,C,11,649,368,393,1,.20,C,,
,,<empty>,13,2,9,4,355.98,C,550.70,C,554.30,C,10 APR 26,6225,.15,C,.25,C,29,"1,604",375,448,1,.20,C,,
,,<empty>,3,11,9,1,555.45,C,545.70,C,549.40,C,10 APR 26,6230,.15,C,.25,C,29,881,372,435,1,.20,C,,
,,<empty>,2,2,9,1,361.39,C,540.70,C,544.30,C,10 APR 26,6235,.15,C,.25,C,6,328,294,412,2,.22,C,,
,,<empty>,16,9,9,1,545.50,C,535.90,C,539.60,C,10 APR 26,6240,.15,C,.25,C,7,"1,732",115,446,5,.20,C,,
,,<empty>,2,9,9,2,237.27,C,530.90,C,534.60,C,10 APR 26,6245,.20,C,.25,C,6,472,73,114,5,.20,C,,
,,<empty>,106,9,9,2,315.79,C,525.90,C,529.60,C,10 APR 26,6250,.20,C,.25,C,51,"6,002",251,198,1,.22,C,,
,,<empty>,1,9,9,1,285.28,C,520.90,C,524.60,C,10 APR 26,6255,.20,C,.25,C,39,353,117,214,2,.22,C,,
,,<empty>,1,9,9,1,205.20,C,515.90,C,519.60,C,10 APR 26,6260,.20,C,.25,C,133,527,75,238,2,.22,C,,
,,<empty>,2,9,9,1,291.56,C,511.00,C,514.60,C,10 APR 26,6265,.20,C,.30,C,37,444,328,257,8,.25,C,,
,,<empty>,8,2,9,1,491.04,C,505.80,C,509.30,C,10 APR 26,6270,.20,C,.30,C,13,"1,130",410,436,6,.25,C,,
,,<empty>,8,11,9,1,294.81,C,500.80,C,504.40,C,10 APR 26,6275,.20,C,.30,C,75,"2,112",315,402,1,.27,C,,
,,<empty>,6,2,9,2,324.00,C,495.80,C,499.30,C,10 APR 26,6280,.20,C,.30,C,2,"2,239",355,389,1,.25,C,,
,,<empty>,4,11,9,3,153.20,C,490.90,C,494.40,C,10 APR 26,6285,.20,C,.30,C,20,517,259,416,1,.27,C,,
,,60,87,11,9,6,490.09,C,485.90,C,489.40,C,10 APR 26,6290,.25,C,.30,C,616,"1,624",271,71,1,.27,C,,
,,<empty>,1,11,9,1,286.34,C,480.90,C,484.40,C,10 APR 26,6295,.25,C,.30,C,1,456,122,79,1,.25,C,,
,,<empty>,102,10,9,10,489.45,C,476.00,C,479.70,C,10 APR 26,6300,.25,C,.30,C,670,"5,006",105,184,9,.27,C,,
,,<empty>,5,10,10,1,470.75,C,471.10,C,474.70,C,10 APR 26,6305,.25,C,.30,C,322,214,100,212,22,.30,C,,
